date_and_time_UTC,callrate,LFcallrate,HFcallrate
2025-06-10 05:30:00+00:00,7.6,7.6,0.0
2025-06-10 05:40:00+00:00,10.6,10.2,0.4
2025-06-10 05:50:00+00:00,13.2,13.2,0.0
2025-06-10 06:00:00+00:00,26.6,26.6,0.0
2025-06-10 06:10:00+00:00,0.0,0.0,0.0
2025-06-10 06:20:00+00:00,0.8,0.8,0.0
2025-06-10 06:30:00+00:00,0.0,0.0,0.0
2025-06-10 06:40:00+00:00,6.6,6.6,0.0
2025-06-10 06:50:00+00:00,34.4,0.0,34.4
2025-06-10 07:00:00+00:00,0.0,0.0,0.0
2025-06-10 07:10:00+00:00,0.0,0.0,0.0
2025-06-10 07:20:00+00:00,0.0,0.0,0.0
2025-06-10 07:30:00+00:00,2.6,2.6,0.0
2025-06-10 07:40:00+00:00,14.8,14.8,0.0
2025-06-10 07:50:00+00:00,11.8,11.6,0.2
2025-06-10 08:00:00+00:00,11.4,11.4,0.0
2025-06-10 08:10:00+00:00,19.6,19.6,0.0
2025-06-10 08:20:00+00:00,20.6,20.6,0.0
2025-06-10 08:30:00+00:00,14.2,14.2,0.0
2025-06-10 08:40:00+00:00,3.0,3.0,0.0
2025-06-10 08:50:00+00:00,0.6,0.6,0.0
2025-06-10 09:00:00+00:00,3.4,3.4,0.0
2025-06-10 09:10:00+00:00,0.0,0.0,0.0
2025-06-10 09:20:00+00:00,4.0,4.0,0.0
2025-06-10 09:30:00+00:00,1.4,1.4,0.0
2025-06-10 09:40:00+00:00,14.4,14.4,0.0
2025-06-10 09:50:00+00:00,6.6,6.6,0.0
2025-06-10 10:00:00+00:00,7.6,7.6,0.0
2025-06-10 10:10:00+00:00,1.6,1.6,0.0
2025-06-10 10:20:00+00:00,9.6,9.6,0.0
2025-06-10 10:30:00+00:00,1.0,1.0,0.0
2025-06-10 10:40:00+00:00,1.0,1.0,0.0
2025-06-10 10:50:00+00:00,0.0,0.0,0.0
2025-06-10 11:00:00+00:00,0.0,0.0,0.0
2025-06-10 11:10:00+00:00,0.0,0.0,0.0
2025-06-10 11:20:00+00:00,0.0,0.0,0.0
2025-06-10 11:30:00+00:00,0.0,0.0,0.0
2025-06-10 11:40:00+00:00,0.0,0.0,0.0
2025-06-10 11:50:00+00:00,0.0,0.0,0.0
2025-06-10 12:00:00+00:00,0.0,0.0,0.0
2025-06-10 12:10:00+00:00,0.0,0.0,0.0
2025-06-10 12:20:00+00:00,0.0,0.0,0.0
2025-06-10 12:30:00+00:00,0.0,0.0,0.0
2025-06-10 12:40:00+00:00,0.0,0.0,0.0
2025-06-10 12:50:00+00:00,0.4,0.4,0.0
2025-06-10 13:00:00+00:00,0.0,0.0,0.0
2025-06-10 13:10:00+00:00,0.0,0.0,0.0
2025-06-10 13:20:00+00:00,0.0,0.0,0.0
2025-06-10 13:30:00+00:00,0.0,0.0,0.0
2025-06-10 13:40:00+00:00,0.0,0.0,0.0
2025-06-10 13:50:00+00:00,0.0,0.0,0.0
2025-06-10 14:00:00+00:00,0.0,0.0,0.0
2025-06-10 14:10:00+00:00,0.0,0.0,0.0
2025-06-10 14:20:00+00:00,0.0,0.0,0.0
2025-06-10 14:30:00+00:00,0.0,0.0,0.0
2025-06-10 14:40:00+00:00,0.0,0.0,0.0
2025-06-10 14:50:00+00:00,0.0,0.0,0.0
2025-06-10 15:00:00+00:00,0.0,0.0,0.0
2025-06-10 15:10:00+00:00,0.0,0.0,0.0
2025-06-10 15:20:00+00:00,0.0,0.0,0.0
2025-06-10 15:30:00+00:00,0.0,0.0,0.0
2025-06-10 15:40:00+00:00,0.0,0.0,0.0
2025-06-10 15:50:00+00:00,0.0,0.0,0.0
2025-06-10 16:00:00+00:00,0.0,0.0,0.0
2025-06-10 16:10:00+00:00,0.0,0.0,0.0
2025-06-10 16:20:00+00:00,0.0,0.0,0.0
2025-06-10 16:30:00+00:00,0.0,0.0,0.0
2025-06-10 16:40:00+00:00,0.0,0.0,0.0
2025-06-10 16:50:00+00:00,0.0,0.0,0.0
2025-06-10 17:00:00+00:00,0.0,0.0,0.0
2025-06-10 17:10:00+00:00,0.0,0.0,0.0
2025-06-10 17:20:00+00:00,0.0,0.0,0.0
2025-06-10 17:30:00+00:00,0.0,0.0,0.0
2025-06-10 17:40:00+00:00,0.0,0.0,0.0
2025-06-10 17:50:00+00:00,0.0,0.0,0.0
2025-06-10 18:00:00+00:00,0.0,0.0,0.0
2025-06-10 18:10:00+00:00,0.0,0.0,0.0
2025-06-10 18:20:00+00:00,0.0,0.0,0.0
2025-06-10 18:30:00+00:00,0.0,0.0,0.0
2025-06-10 18:40:00+00:00,0.0,0.0,0.0
2025-06-10 18:50:00+00:00,0.0,0.0,0.0
2025-06-10 19:00:00+00:00,0.0,0.0,0.0
2025-06-10 19:10:00+00:00,0.0,0.0,0.0
2025-06-10 19:20:00+00:00,0.0,0.0,0.0
2025-06-10 19:30:00+00:00,0.0,0.0,0.0
2025-06-10 19:40:00+00:00,0.0,0.0,0.0
2025-06-10 19:50:00+00:00,0.0,0.0,0.0
2025-06-10 20:00:00+00:00,0.0,0.0,0.0
2025-06-10 20:10:00+00:00,0.0,0.0,0.0
2025-06-10 20:20:00+00:00,0.0,0.0,0.0
2025-06-10 20:30:00+00:00,0.0,0.0,0.0
2025-06-10 20:40:00+00:00,0.0,0.0,0.0
2025-06-10 20:50:00+00:00,0.0,0.0,0.0
2025-06-10 21:00:00+00:00,0.0,0.0,0.0
2025-06-10 21:10:00+00:00,0.0,0.0,0.0
2025-06-10 21:20:00+00:00,0.0,0.0,0.0
2025-06-10 21:30:00+00:00,0.0,0.0,0.0
2025-06-10 21:40:00+00:00,0.0,0.0,0.0
2025-06-10 21:50:00+00:00,0.0,0.0,0.0
2025-06-10 22:00:00+00:00,0.0,0.0,0.0
2025-06-10 22:10:00+00:00,0.0,0.0,0.0
2025-06-10 22:20:00+00:00,0.0,0.0,0.0
2025-06-10 22:30:00+00:00,0.0,0.0,0.0
2025-06-10 22:40:00+00:00,0.0,0.0,0.0
2025-06-10 22:50:00+00:00,0.0,0.0,0.0
2025-06-10 23:00:00+00:00,0.0,0.0,0.0
2025-06-10 23:10:00+00:00,0.0,0.0,0.0
2025-06-10 23:20:00+00:00,0.0,0.0,0.0
2025-06-10 23:30:00+00:00,0.0,0.0,0.0
2025-06-10 23:40:00+00:00,0.0,0.0,0.0
2025-06-10 23:50:00+00:00,0.0,0.0,0.0
2025-06-11 00:00:00+00:00,0.0,0.0,0.0
2025-06-11 00:10:00+00:00,0.0,0.0,0.0
2025-06-11 00:20:00+00:00,0.0,0.0,0.0
2025-06-11 00:30:00+00:00,0.0,0.0,0.0
2025-06-11 00:40:00+00:00,0.0,0.0,0.0
2025-06-11 00:50:00+00:00,0.0,0.0,0.0
2025-06-11 01:00:00+00:00,0.0,0.0,0.0
2025-06-11 01:10:00+00:00,0.0,0.0,0.0
2025-06-11 01:20:00+00:00,0.0,0.0,0.0
2025-06-11 01:30:00+00:00,0.0,0.0,0.0
2025-06-11 01:40:00+00:00,0.0,0.0,0.0
2025-06-11 01:50:00+00:00,0.0,0.0,0.0
2025-06-11 02:00:00+00:00,0.0,0.0,0.0
2025-06-11 02:10:00+00:00,0.0,0.0,0.0
2025-06-11 02:20:00+00:00,0.0,0.0,0.0
2025-06-11 02:30:00+00:00,0.0,0.0,0.0
2025-06-11 02:40:00+00:00,0.0,0.0,0.0
2025-06-11 02:50:00+00:00,0.0,0.0,0.0
2025-06-11 03:00:00+00:00,0.0,0.0,0.0
2025-06-11 03:10:00+00:00,0.0,0.0,0.0
2025-06-11 03:20:00+00:00,0.0,0.0,0.0
2025-06-11 03:30:00+00:00,0.0,0.0,0.0
2025-06-11 03:40:00+00:00,0.0,0.0,0.0
2025-06-11 03:50:00+00:00,0.0,0.0,0.0
2025-06-11 04:00:00+00:00,0.0,0.0,0.0
2025-06-11 04:10:00+00:00,0.0,0.0,0.0
2025-06-11 04:20:00+00:00,0.0,0.0,0.0
2025-06-11 04:30:00+00:00,0.0,0.0,0.0
2025-06-11 04:40:00+00:00,0.0,0.0,0.0
2025-06-11 04:50:00+00:00,0.0,0.0,0.0
2025-06-11 05:00:00+00:00,11.6,6.2,5.4
2025-06-11 05:10:00+00:00,16.6,11.4,5.2
2025-06-11 05:20:00+00:00,0.0,0.0,0.0
2025-06-11 05:30:00+00:00,0.0,0.0,0.0
2025-06-11 05:40:00+00:00,4.2,0.0,4.2
2025-06-11 05:50:00+00:00,4.0,4.0,0.0
2025-06-11 06:00:00+00:00,1.2,1.2,0.0
2025-06-11 06:10:00+00:00,11.0,11.0,0.0
2025-06-11 06:20:00+00:00,19.8,19.8,0.0
2025-06-11 06:30:00+00:00,22.0,17.2,4.8
2025-06-11 06:40:00+00:00,22.0,22.0,0.0
2025-06-11 06:50:00+00:00,17.8,17.8,0.0
2025-06-11 07:00:00+00:00,10.6,10.6,0.0
2025-06-11 07:10:00+00:00,0.8,0.8,0.0
2025-06-11 07:20:00+00:00,14.2,14.2,0.0
2025-06-11 07:30:00+00:00,9.8,8.2,1.6
2025-06-11 07:40:00+00:00,2.4,0.2,2.2
2025-06-11 07:50:00+00:00,2.0,2.0,0.0
2025-06-11 08:00:00+00:00,1.6,1.6,0.0
2025-06-11 08:10:00+00:00,5.6,5.6,0.0
2025-06-11 08:20:00+00:00,0.2,0.2,0.0
2025-06-11 08:30:00+00:00,15.2,15.2,0.0
2025-06-11 08:40:00+00:00,20.2,20.2,0.0
2025-06-11 08:50:00+00:00,9.6,9.6,0.0
2025-06-11 09:00:00+00:00,0.0,0.0,0.0
2025-06-11 09:10:00+00:00,0.0,0.0,0.0
2025-06-11 09:20:00+00:00,4.0,4.0,0.0
2025-06-11 09:30:00+00:00,0.0,0.0,0.0
2025-06-11 09:40:00+00:00,1.8,0.0,1.8
2025-06-11 09:50:00+00:00,0.0,0.0,0.0
2025-06-11 10:00:00+00:00,20.0,20.0,0.0
2025-06-11 10:10:00+00:00,0.0,0.0,0.0
2025-06-11 10:20:00+00:00,0.0,0.0,0.0
2025-06-11 10:30:00+00:00,9.8,0.0,9.8
2025-06-11 10:40:00+00:00,0.2,0.0,0.2
2025-06-11 10:50:00+00:00,0.0,0.0,0.0
2025-06-11 11:00:00+00:00,0.0,0.0,0.0
2025-06-11 11:10:00+00:00,1.8,0.0,1.8
2025-06-11 11:20:00+00:00,0.0,0.0,0.0
2025-06-11 11:30:00+00:00,0.0,0.0,0.0
2025-06-11 11:40:00+00:00,0.0,0.0,0.0
2025-06-11 11:50:00+00:00,0.0,0.0,0.0
2025-06-11 12:00:00+00:00,0.0,0.0,0.0
2025-06-11 12:10:00+00:00,0.0,0.0,0.0
2025-06-11 12:20:00+00:00,0.0,0.0,0.0
2025-06-11 12:30:00+00:00,0.0,0.0,0.0
2025-06-11 12:40:00+00:00,0.4,0.4,0.0
2025-06-11 12:50:00+00:00,0.0,0.0,0.0
2025-06-11 13:00:00+00:00,0.0,0.0,0.0
2025-06-11 13:10:00+00:00,0.0,0.0,0.0
2025-06-11 13:20:00+00:00,0.2,0.2,0.0
2025-06-11 13:30:00+00:00,0.0,0.0,0.0
2025-06-11 13:40:00+00:00,0.0,0.0,0.0
2025-06-11 13:50:00+00:00,0.0,0.0,0.0
2025-06-11 14:00:00+00:00,0.0,0.0,0.0
2025-06-11 14:10:00+00:00,0.0,0.0,0.0
2025-06-11 14:20:00+00:00,0.0,0.0,0.0
2025-06-11 14:30:00+00:00,0.0,0.0,0.0
2025-06-11 14:40:00+00:00,0.0,0.0,0.0
2025-06-11 14:50:00+00:00,0.0,0.0,0.0
2025-06-11 15:00:00+00:00,0.0,0.0,0.0
2025-06-11 15:10:00+00:00,0.0,0.0,0.0
2025-06-11 15:20:00+00:00,0.0,0.0,0.0
2025-06-11 15:30:00+00:00,0.0,0.0,0.0
2025-06-11 15:40:00+00:00,0.0,0.0,0.0
2025-06-11 15:50:00+00:00,0.0,0.0,0.0
2025-06-11 16:00:00+00:00,0.0,0.0,0.0
2025-06-11 16:10:00+00:00,0.0,0.0,0.0
2025-06-11 16:20:00+00:00,0.0,0.0,0.0
2025-06-11 16:30:00+00:00,0.0,0.0,0.0
2025-06-11 16:40:00+00:00,0.0,0.0,0.0
2025-06-11 16:50:00+00:00,0.0,0.0,0.0
2025-06-11 17:00:00+00:00,0.0,0.0,0.0
2025-06-11 17:10:00+00:00,0.0,0.0,0.0
2025-06-11 17:20:00+00:00,0.0,0.0,0.0
2025-06-11 17:30:00+00:00,0.0,0.0,0.0
2025-06-11 17:40:00+00:00,0.0,0.0,0.0
2025-06-11 17:50:00+00:00,0.0,0.0,0.0
2025-06-11 18:00:00+00:00,0.0,0.0,0.0
2025-06-11 18:10:00+00:00,0.0,0.0,0.0
2025-06-11 18:20:00+00:00,0.0,0.0,0.0
2025-06-11 18:30:00+00:00,0.0,0.0,0.0
2025-06-11 18:40:00+00:00,0.0,0.0,0.0
2025-06-11 18:50:00+00:00,0.0,0.0,0.0
2025-06-11 19:00:00+00:00,0.0,0.0,0.0
2025-06-11 19:10:00+00:00,0.0,0.0,0.0
2025-06-11 19:20:00+00:00,0.0,0.0,0.0
2025-06-11 19:30:00+00:00,0.0,0.0,0.0
2025-06-11 19:40:00+00:00,0.0,0.0,0.0
2025-06-11 19:50:00+00:00,0.0,0.0,0.0
2025-06-11 20:00:00+00:00,0.0,0.0,0.0
2025-06-11 20:10:00+00:00,0.0,0.0,0.0
2025-06-11 20:20:00+00:00,0.0,0.0,0.0
2025-06-11 20:30:00+00:00,0.0,0.0,0.0
2025-06-11 20:40:00+00:00,0.0,0.0,0.0
2025-06-11 20:50:00+00:00,0.0,0.0,0.0
2025-06-11 21:00:00+00:00,0.0,0.0,0.0
2025-06-11 21:10:00+00:00,0.0,0.0,0.0
2025-06-11 21:20:00+00:00,0.0,0.0,0.0
2025-06-11 21:30:00+00:00,0.0,0.0,0.0
2025-06-11 21:40:00+00:00,0.0,0.0,0.0
2025-06-11 21:50:00+00:00,0.0,0.0,0.0
2025-06-11 22:00:00+00:00,0.0,0.0,0.0
2025-06-11 22:10:00+00:00,0.0,0.0,0.0
2025-06-11 22:20:00+00:00,0.0,0.0,0.0
2025-06-11 22:30:00+00:00,0.0,0.0,0.0
2025-06-11 22:40:00+00:00,0.0,0.0,0.0
2025-06-11 22:50:00+00:00,0.0,0.0,0.0
2025-06-11 23:00:00+00:00,0.0,0.0,0.0
2025-06-11 23:10:00+00:00,0.0,0.0,0.0
2025-06-11 23:20:00+00:00,0.0,0.0,0.0
2025-06-11 23:30:00+00:00,0.0,0.0,0.0
2025-06-11 23:40:00+00:00,0.6,0.6,0.0
2025-06-11 23:50:00+00:00,0.0,0.0,0.0
2025-06-12 00:00:00+00:00,0.0,0.0,0.0
2025-06-12 00:10:00+00:00,0.0,0.0,0.0
2025-06-12 00:20:00+00:00,0.0,0.0,0.0
2025-06-12 00:30:00+00:00,0.0,0.0,0.0
2025-06-12 00:40:00+00:00,0.0,0.0,0.0
2025-06-12 00:50:00+00:00,0.0,0.0,0.0
2025-06-12 01:00:00+00:00,0.0,0.0,0.0
2025-06-12 01:10:00+00:00,0.0,0.0,0.0
2025-06-12 01:20:00+00:00,0.0,0.0,0.0
2025-06-12 01:30:00+00:00,0.0,0.0,0.0
2025-06-12 01:40:00+00:00,0.0,0.0,0.0
2025-06-12 01:50:00+00:00,0.0,0.0,0.0
2025-06-12 02:00:00+00:00,0.0,0.0,0.0
2025-06-12 02:10:00+00:00,0.0,0.0,0.0
2025-06-12 02:20:00+00:00,0.0,0.0,0.0
2025-06-12 02:30:00+00:00,0.0,0.0,0.0
2025-06-12 02:40:00+00:00,0.0,0.0,0.0
2025-06-12 02:50:00+00:00,0.0,0.0,0.0
2025-06-12 03:00:00+00:00,0.0,0.0,0.0
2025-06-12 03:10:00+00:00,0.0,0.0,0.0
2025-06-12 03:20:00+00:00,0.0,0.0,0.0
2025-06-12 03:30:00+00:00,0.0,0.0,0.0
2025-06-12 03:40:00+00:00,0.0,0.0,0.0
2025-06-12 03:50:00+00:00,0.0,0.0,0.0
2025-06-12 04:00:00+00:00,0.0,0.0,0.0
2025-06-12 04:10:00+00:00,0.0,0.0,0.0
2025-06-12 04:20:00+00:00,0.0,0.0,0.0
2025-06-12 04:30:00+00:00,0.0,0.0,0.0
2025-06-12 04:40:00+00:00,0.0,0.0,0.0
2025-06-12 04:50:00+00:00,3.0,3.0,0.0
2025-06-12 05:00:00+00:00,15.6,10.8,4.8
2025-06-12 05:10:00+00:00,20.0,11.8,8.2
2025-06-12 05:20:00+00:00,35.6,35.6,0.0
2025-06-12 05:30:00+00:00,31.6,31.6,0.0
2025-06-12 05:40:00+00:00,8.8,8.8,0.0
2025-06-12 05:50:00+00:00,63.4,63.4,0.0
2025-06-12 06:00:00+00:00,30.6,27.4,3.2
2025-06-12 06:10:00+00:00,52.8,52.8,0.0
2025-06-12 06:20:00+00:00,24.8,24.8,0.0
2025-06-12 06:30:00+00:00,31.0,21.2,9.8
2025-06-12 06:40:00+00:00,32.0,30.0,2.0
2025-06-12 06:50:00+00:00,29.0,27.6,1.4
2025-06-12 07:00:00+00:00,16.2,16.2,0.0
2025-06-12 07:10:00+00:00,14.8,14.8,0.0
2025-06-12 07:20:00+00:00,3.2,0.0,3.2
2025-06-12 07:30:00+00:00,0.6,0.0,0.6
2025-06-12 07:40:00+00:00,18.2,17.4,0.8
2025-06-12 07:50:00+00:00,0.0,0.0,0.0
2025-06-12 08:30:00+00:00,,,
2025-06-12 08:40:00+00:00,,,
2025-06-12 15:10:00+00:00,,,
2025-06-12 15:40:00+00:00,,,
2025-06-12 15:50:00+00:00,,,
2025-06-12 16:00:00+00:00,,,
2025-06-12 16:50:00+00:00,,,
2025-06-12 20:50:00+00:00,,,
2025-06-12 21:50:00+00:00,,,
2025-06-13 05:50:00+00:00,,,
2025-06-13 06:10:00+00:00,,,
2025-06-13 06:40:00+00:00,,,
2025-06-13 07:10:00+00:00,,,
2025-06-13 07:20:00+00:00,,,
2025-06-13 09:30:00+00:00,,,
2025-06-13 10:10:00+00:00,,,
2025-06-13 11:30:00+00:00,,,
2025-06-13 13:20:00+00:00,,,
2025-06-13 13:30:00+00:00,,,
2025-06-13 14:00:00+00:00,,,
2025-06-13 16:00:00+00:00,,,
2025-06-13 16:50:00+00:00,,,
2025-06-13 17:20:00+00:00,,,
2025-06-13 17:30:00+00:00,,,
