date_and_time_UTC,num_of_detections,LFnum_of_detections,HFnum_of_detections
2025-03-01 07:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 07:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 07:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 07:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 07:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 07:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 08:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 08:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 08:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 08:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 08:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 08:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 09:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 09:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 09:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 09:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 09:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 09:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 10:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 10:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 10:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 10:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 10:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 10:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 11:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 11:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 11:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 11:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 11:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 11:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 12:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 12:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 12:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 12:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 12:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 12:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 13:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 13:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 13:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 13:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 13:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 13:50:00+00:00,2.0,0.3333333333333333,2.0
2025-03-01 14:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 14:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 14:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 14:30:00+00:00,2.0,2.0,0.3333333333333333
2025-03-01 14:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 14:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 15:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 15:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 15:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 15:30:00+00:00,2.0,2.0,0.3333333333333333
2025-03-01 15:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 15:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 16:00:00+00:00,2.0,2.0,0.3333333333333333
2025-03-01 16:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 16:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 16:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 16:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 16:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 17:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 17:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 17:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 17:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 17:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 17:50:00+00:00,4.0,4.0,0.3333333333333333
2025-03-01 18:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 18:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 18:20:00+00:00,2.0,2.0,0.3333333333333333
2025-03-01 18:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 18:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 18:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 19:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 19:10:00+00:00,2.0,2.0,0.3333333333333333
2025-03-01 19:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 19:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 19:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 19:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 20:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 20:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 20:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 20:30:00+00:00,10.0,10.0,0.3333333333333333
2025-03-01 20:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 20:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 21:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 21:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 21:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 21:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 21:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 21:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 22:00:00+00:00,2.0,2.0,0.3333333333333333
2025-03-01 22:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 22:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 22:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 22:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 22:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 23:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 23:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 23:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 23:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 23:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-01 23:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 00:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 00:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 00:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 00:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 00:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 01:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 01:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 01:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 01:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 01:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 01:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 02:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 02:10:00+00:00,2.0,2.0,0.3333333333333333
2025-03-02 02:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 02:30:00+00:00,44.0,18.0,26.0
2025-03-02 02:40:00+00:00,44.0,44.0,0.3333333333333333
2025-03-02 02:50:00+00:00,254.0,170.0,84.0
2025-03-02 03:00:00+00:00,92.0,0.3333333333333333,92.0
2025-03-02 03:10:00+00:00,106.0,0.3333333333333333,106.0
2025-03-02 03:20:00+00:00,102.0,102.0,0.3333333333333333
2025-03-02 03:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-03-02 04:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
